"","tweet_id","sentiment","author","content","gemini"
"1",1956967341,"empty","xoshayzers","@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[","surprise"
"11",1956969456,"neutral","feinyheiny","cant fall asleep","sadness"
"21",1956971981,"worry","andreagauster","@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too","relief"
"31",1956974706,"hate","MavrickAces","It is so annoying when she starts typing on her computer in the middle of the night!","anger"
"41",1956977084,"happiness","ktierson","mmm much better day... so far! it's still quite early. last day of #uds","happiness"
"51",1956979894,"neutral","lookitsholly","Chocolate milk is so much better through a straw. I lack said straw","boredom"
"61",1956982449,"worry","DawnofOURnight","@itsgabbith at once haha.  poor aby still gets sore!","fun"
"71",1956983931,"neutral","MunkyMunch","I cant give @jertronic any bday nudges.","neutral"
"81",1956985764,"sadness","Samm_xo","@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?","worry"
"91",1956988145,"neutral","padfootly","@lepetitagneau what's going on sweetheart?","surprise"
"101",1956989914,"worry","Fowl2","First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )","anger"
"111",1956992144,"worry","Margotkay","is up with a nasty cough i cant be sick i have a huge weekend ahead of me","worry"
"121",1956995852,"neutral","ErikaAlexxis","Well it almost was a good day... Guess I just retry tomorrow","sadness"
"131",1956997619,"neutral","kudosbeauty","claire @breakfastnt love the show, got into the office @ 5am and no radio","neutral"
"141",1957000314,"neutral","Phenikone","@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby","happiness"
"151",1957002082,"sadness","V0NST3V3","Last day working for the Uni today, sad times","sadness"
"161",1957004749,"hate","golden_one","don't you hate it when you finish all your work and there's still 1.25 hours left of work time","anger"
"171",1957006098,"worry","puelladei","I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!","sadness"
"181",1957007357,"empty","_SNO_","Have a headache  I'm going to bed. Goodnight!","sadness"
"191",1957008478,"surprise","bekahjayne","bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!","enthusiasm"
"201",1957011291,"sadness","ABCeCe","@AlexanderGWhite daaammmnnnnn I do wish I was there.","enthusiasm"
"211",1957013804,"love","jammmaster1021","@bobbyedner i missed the game","sadness"
"221",1957015287,"neutral","skk123","@MrRathbone what about me","neutral"
"231",1957017320,"worry","xSpotlighted","@__sugar oh no  i am always here ;) &lt;3","surprise"
"241",1957019121,"neutral","portablegamer","@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.","boredom"
"251",1957020702,"happiness","HD_Fury","Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks","fun"
"261",1957023061,"surprise","MissxMarisa","@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.","sadness"
"271",1957027630,"sadness","CforrClemmensen","my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.","sadness"
"281",1957030196,"worry","SoSpoiledDatsMe","my twitter has been hacked again","worry"
"291",1957032127,"neutral","minauderie","@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk","boredom"
"301",1957033901,"worry","ACjoint","sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend","sadness"
"311",1957036183,"neutral","LizSkoczylas","@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.","neutral"
"321",1957039203,"worry","megan_kelli","Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents","sadness"
"331",1957041648,"neutral","ssanyal","@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product","boredom"
"341",1957042734,"empty","Kayleia","0","neutral"
"351",1957044935,"hate","helenmurdock","aarrgghh - fu*k.....a hose has leaked water all over the new floating floor","anger"
"361",1957047569,"worry","kilrturkey","I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.","worry"
"371",1957050747,"sadness","Nick_Myndflip","@RealBlackWidow But but I dun wanna","boredom"
"381",1957053409,"relief","gangstamittens","is home.  safely... but hungry","relief"
"391",1957057469,"worry","ohsht","i feel like I'm on house arrest.","anger"
"401",1957060283,"neutral","mizzlizwhizz","@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today","neutral"
